GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX.Chars,11,37,0,0,3,10,2,4,2,4
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX,827,3234,198,560,179,951,178,363,5,107
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextSystemX,627,1076,110,179,150,268,98,107,5,34
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenConstsX.CharacterSequence,3,0,0,0,1,0,1,0,1,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_IonTextWriterBuilder.Mutable,0,18,0,0,0,6,0,5,0,5
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_Utils,400,683,105,105,93,178,84,77,17,37
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenReader.LocalReader,72,0,6,0,21,0,8,0,5,0
com.amazon.ion:ion-java,com.amazon.ion.impl,SimpleByteBuffer.SimpleByteReader,1255,0,214,0,258,0,134,0,23,0
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.IonReaderBinarySpan,0,15,0,0,0,6,0,4,0,4
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderBinaryUserX.ByteTransferReaderFacet,4,30,1,1,1,6,1,2,0,2
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedInputBufferX,227,252,44,25,42,65,31,25,2,19
com.amazon.ion:ion-java,com.amazon.ion.impl,IonWriterSystem,124,625,36,100,24,172,37,68,5,31
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.CommentStrategy,0,34,0,0,0,4,0,1,0,1
com.amazon.ion:ion-java,com.amazon.ion.impl,UnifiedDataPageX,116,151,11,12,21,35,17,16,8,13
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_ScalarConversions.CantConvertException,13,0,0,0,6,0,3,0,3,0
com.amazon.ion:ion-java,com.amazon.ion.impl,OutputStreamFastAppendable,54,439,14,32,7,69,14,21,0,12
com.amazon.ion:ion-java,com.amazon.ion.impl,IonTokenReader,2642,0,516,0,636,0,323,0,38,0
com.amazon.ion:ion-java,com.amazon.ion.impl,_Private_IonReaderFactory,99,266,2,14,23,61,9,28,7,22
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextUserX.SpanProviderFacet,0,10,0,0,0,2,0,2,0,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.ProhibitedCharacters.new IonReaderTextRawTokensX.ProhibitedCharacters() {...},0,8,0,0,0,2,0,2,0,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.ProhibitedCharacters.new IonReaderTextRawTokensX.ProhibitedCharacters() {...},0,16,0,4,0,2,0,4,0,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.ProhibitedCharacters.new IonReaderTextRawTokensX.ProhibitedCharacters() {...},0,19,0,6,0,2,0,5,0,2
com.amazon.ion:ion-java,com.amazon.ion.impl,IonReaderTextRawTokensX.IonReaderTextTokenException,0,4,0,0,0,2,0,1,0,1
